pitcher,birthDate
502051,1988-01-21
502083,1987-12-08
502085,1985-04-09
502154,1987-12-22
502171,1987-10-07
502179,1987-01-10
502188,1985-01-23
502190,1987-11-12
502202,1988-05-27
502212,1985-04-29
502239,1988-03-01
502272,1983-10-21
502327,1987-12-16
502381,1984-05-14
502522,1987-06-13
502593,1988-06-05
502624,1987-11-30
502706,1986-10-09
502748,1988-02-02
503285,1982-10-22
503444,1989-06-09
503449,1989-05-08
503569,1988-01-10
504379,1986-08-31
506433,1986-08-16
516714,1989-01-17
516969,1989-12-31
517008,1988-12-31
517414,1990-02-09
517593,1990-01-11
518397,1989-07-10
518445,1989-02-28
518452,1989-04-26
518468,1989-03-16
518489,1987-08-26
518516,1989-08-01
518553,1986-06-18
518566,1989-08-20
518567,1986-02-07
518585,1990-03-28
518617,1987-01-21
518633,1988-12-21
518693,1987-06-24
518715,1986-04-14
518716,1986-04-28
518748,1988-08-16
518774,1989-03-27
518813,1985-11-20
518858,1986-01-28
518875,1984-04-26
518876,1988-10-14
518883,1989-06-07
518886,1988-05-28
518927,1984-11-02
519008,1989-06-08
519043,1989-06-18
519076,1989-06-05
519085,1989-07-01
519096,1985-02-19
519141,1988-11-22
519144,1988-12-27
519151,1988-12-15
519166,1989-05-25
519240,1985-08-29
519242,1989-03-30
519263,1989-06-27
519267,1985-07-19
519293,1989-07-10
519294,1988-11-26
519301,1988-08-10
519322,1987-08-11
519326,1988-09-24
519381,1985-06-30
519393,1988-09-13
519437,1989-04-01
519443,1988-08-13
519455,1986-05-23
520980,1988-03-11
521230,1989-02-10
521655,1990-05-24
523260,1988-06-09
523848,1990-08-07
523989,1989-03-04
525768,1989-08-21
527048,1991-04-04
527054,1991-01-27
527055,1990-11-13
528748,1998-04-03
532077,1995-02-07
533167,1986-09-27
534812,1988-11-28
534910,1989-07-30
534947,1987-11-13
541640,1990-05-02
541652,1990-12-09
542432,1990-01-21
542585,1989-04-11
542587,1991-07-15
542609,1990-11-23
542674,1987-09-23
542866,1986-08-19
542881,1989-12-30
542882,1989-08-28
542888,1990-09-11
542914,1987-11-01
542924,1987-01-17
542947,1987-04-16
542953,1988-05-09
542960,1986-04-12
543017,1990-01-03
543022,1989-12-16
543037,1990-09-08
543045,1990-05-24
543054,1990-05-25
543056,1989-10-26
543101,1990-04-18
543118,1987-01-13
543135,1990-02-13
543144,1987-02-17
543169,1990-04-19
543184,1987-07-08
543193,1990-06-26
543208,1990-05-22
543219,1990-05-08
543238,1990-08-10
543243,1989-11-07
543272,1990-03-20
543278,1987-03-14
543294,1989-12-07
543331,1987-08-13
543339,1987-03-09
543351,1987-10-27
543359,1987-04-17
543408,1986-06-29
543475,1990-10-19
543483,1989-11-10
543506,1990-07-03
543507,1989-09-23
543518,1989-10-31
543521,1987-06-19
543542,1990-01-03
543548,1987-02-16
543557,1989-07-01
543606,1990-03-27
543699,1986-10-05
543726,1989-06-24
543734,1986-10-22
543746,1987-02-15
543766,1987-11-08
543779,1989-07-20
543859,1989-11-19
543867,1989-09-11
543883,1986-07-12
543901,1990-08-12
543935,1986-11-03
543964,1990-08-07
544150,1989-10-08
544365,1991-03-13
544727,1989-10-10
544836,1991-01-24
544928,1988-02-21
544931,1988-07-20
544993,1987-11-01
545064,1991-05-27
545332,1991-07-22
545333,1991-01-17
545343,1990-04-23
545363,1991-05-21
546276,1992-04-22
547179,1992-01-04
547749,1986-06-06
547874,1981-04-12
547888,1988-11-01
547942,1988-07-22
547943,1987-03-25
547973,1988-02-28
548337,1990-06-19
548357,1988-05-04
548384,1988-06-29
548389,1989-11-23
552640,1990-03-17
553878,1991-07-05
554340,1990-08-18
554430,1990-05-30
554431,1990-10-19
570240,1990-02-25
570257,1991-11-14
570488,1991-11-16
570632,1991-09-12
570649,1991-06-03
570663,1990-08-13
570666,1992-04-25
571473,1987-12-09
571476,1990-09-04
571479,1991-08-05
571510,1991-02-02
571521,1987-12-18
571539,1991-07-23
571561,1989-07-05
571578,1989-07-19
571584,1987-11-06
571616,1990-07-04
571656,1991-02-20
571666,1985-06-15
571670,1990-12-27
571704,1990-09-20
571710,1990-05-13
571735,1987-09-27
571760,1991-06-05
571787,1991-07-19
571800,1990-08-22
571858,1991-09-29
571863,1990-11-02
571871,1991-05-09
571882,1990-09-14
571893,1987-05-12
571901,1987-12-19
571917,1990-09-15
571927,1991-05-29
571945,1988-08-23
571946,1990-10-10
571948,1991-01-13
571951,1991-04-19
572020,1988-11-06
572021,1991-05-05
572044,1990-09-26
572070,1988-05-27
572096,1990-05-29
572125,1990-11-14
572140,1991-07-13
572143,1990-04-12
572193,1987-11-03
572308,1990-03-01
572362,1990-10-08
572403,1990-10-22
572703,1990-11-13
572750,1991-03-13
572788,1989-07-13
572831,1986-12-17
572888,1988-11-17
572955,1991-05-10
572971,1988-01-01
572998,1990-11-05
573009,1991-03-01
573046,1991-05-03
573064,1987-07-26
573109,1986-09-20
573124,1990-12-17
573127,1988-06-09
573185,1988-12-01
573186,1991-05-01
573204,1987-01-31
573589,1991-09-24
573668,1990-09-18
579328,1991-06-17
580792,1991-07-06
582494,1989-08-29
584171,1988-11-26
591693,1992-12-19
592091,1988-08-27
592094,1991-08-04
592102,1988-11-20
592127,1992-07-11
592130,1989-10-21
592135,1991-10-02
592145,1991-10-22
592165,1991-07-26
592169,1992-06-19
592170,1991-08-02
592222,1992-01-31
592229,1991-08-14
592233,1992-02-29
592254,1992-08-07
592314,1991-10-07
592332,1991-01-06
592340,1988-12-20
592346,1992-01-15
592351,1991-11-05
592390,1989-01-13
592426,1991-08-24
592454,1989-08-07
592468,1991-11-08
592473,1989-01-14
592527,1988-10-20
592547,1989-06-23
592593,1991-11-22
592612,1988-09-03
592644,1991-10-03
592662,1991-10-01
592665,1988-12-27
592712,1991-10-01
592716,1991-10-07
592717,1992-07-01
592741,1990-07-12
592761,1991-07-28
592767,1989-06-13
592773,1991-07-26
592779,1991-10-03
592789,1992-08-29
592791,1991-11-18
592804,1988-09-29
592811,1989-03-16
592815,1992-10-19
592826,1992-06-07
592836,1992-08-13
592858,1992-11-09
592865,1991-07-21
592866,1992-04-25
592869,1989-09-25
592872,1988-11-01
592879,1988-12-21
593140,1993-06-28
593144,1990-03-04
593334,1992-08-04
593372,1991-09-21
593423,1993-03-21
593576,1989-06-14
593619,1991-08-04
593679,1993-05-26
593833,1991-09-15
593958,1993-04-07
593974,1991-07-27
594027,1991-01-09
594056,1992-03-16
594311,1992-10-12
594577,1991-12-06
594580,1992-01-03
594736,1990-09-14
594742,1991-10-04
594795,1987-11-25
594798,1988-06-19
594835,1992-02-16
594840,1988-12-14
594902,1992-03-05
594943,1988-11-09
594951,1988-04-30
594965,1992-01-16
594986,1991-09-25
594987,1990-07-13
594992,1989-04-07
595001,1987-08-07
595014,1988-06-30
595032,1989-06-14
595191,1990-07-02
595307,1988-10-14
595345,1991-07-09
595411,1990-05-25
595465,1990-02-02
595881,1993-05-23
595918,1992-01-05
595928,1993-04-05
596001,1992-09-16
596027,1992-05-09
596043,1993-02-19
596057,1993-04-25
596071,1992-08-31
596074,1992-12-01
596082,1992-09-29
596101,1992-09-18
596112,1993-02-24
596133,1993-08-21
596271,1987-10-28
596295,1993-11-23
596720,1993-01-14
597113,1989-08-30
598264,1990-06-17
598271,1990-12-07
598286,1989-08-01
598287,1989-12-22
599683,1990-01-16
599998,1987-07-17
600526,1993-09-24
600887,1992-10-14
600917,1993-12-19
600921,1993-04-22
600965,1992-08-31
600968,1994-05-18
600986,1993-01-07
601713,1993-02-14
605121,1992-09-28
605130,1992-12-18
605135,1989-02-22
605138,1993-07-26
605143,1990-06-26
605151,1992-08-10
605154,1990-05-30
605155,1992-10-29
605156,1990-04-27
605164,1992-11-15
605177,1990-06-17
605182,1990-12-21
605194,1992-01-19
605195,1992-11-30
605200,1993-02-07
605218,1991-09-03
605228,1992-07-31
605232,1993-04-14
605240,1993-07-09
605242,1993-03-15
605254,1992-11-13
605255,1993-01-30
605260,1992-12-01
605276,1993-07-10
605280,1993-03-27
605288,1993-02-02
605301,1992-05-16
605309,1993-04-16
605347,1993-02-10
605359,1990-04-18
605388,1990-02-27
605396,1990-04-22
605397,1992-12-04
605400,1993-06-04
605441,1993-06-27
605446,1992-06-05
605447,1993-04-21
605452,1993-05-21
605463,1992-06-01
605476,1989-10-19
605482,1992-10-01
605483,1992-12-04
605488,1992-09-20
605498,1992-09-11
605501,1993-02-17
605507,1993-10-23
605513,1992-09-18
605521,1993-03-23
605525,1993-03-24
605538,1992-09-12
605540,1993-02-10
605541,1990-01-03
605894,1992-09-28
606131,1993-05-09
606149,1991-08-14
606160,1990-10-17
606162,1993-11-28
606167,1993-06-20
606273,1988-08-01
606291,1993-09-22
606303,1994-04-07
606424,1993-01-18
606478,1993-07-02
606625,1993-01-06
606930,1990-04-14
606965,1990-11-13
606983,1993-04-13
607067,1990-07-01
607074,1992-12-10
607179,1992-11-07
607188,1993-07-30
607192,1993-08-23
607200,1993-02-25
607215,1992-10-26
607216,1992-12-20
607219,1993-10-12
607229,1993-07-18
607231,1992-08-06
607237,1992-05-03
607259,1990-08-05
607352,1990-05-29
607359,1988-02-20
607374,1990-08-27
607391,1989-10-17
607455,1993-08-10
607457,1990-05-23
607473,1989-08-05
607481,1993-09-21
607536,1993-05-14
607555,1993-05-12
607560,1989-03-27
607572,1993-03-05
607625,1989-11-17
607644,1993-04-24
607755,1993-09-14
607968,1988-12-30
608032,1992-12-28
608328,1993-12-29
608331,1994-01-18
608334,1993-12-13
608335,1994-03-16
608337,1994-07-14
608344,1994-01-31
608349,1991-11-26
608371,1994-05-10
608379,1991-07-01
608566,1995-02-22
608601,1991-02-11
608638,1990-12-03
608648,1990-12-27
608652,1991-06-07
608665,1990-12-21
608678,1991-10-26
608716,1991-01-10
608717,1990-08-22
608718,1989-08-29
608723,1992-06-26
611093,1992-07-17
612434,1994-12-24
612672,1985-07-21
613534,1991-05-05
614179,1994-10-21
615698,1995-02-10
617228,1988-04-03
620454,1996-01-10
620982,1994-01-20
621016,1994-06-28
621051,1994-08-24
621052,1994-08-29
621056,1993-08-12
621057,1994-03-20
621074,1994-04-27
621076,1994-03-02
621097,1993-11-05
621107,1994-04-08
621111,1994-07-28
621112,1993-12-04
621114,1994-05-28
621121,1993-10-02
621139,1994-02-03
621141,1994-05-03
621142,1993-03-31
621199,1991-05-31
621219,1991-11-30
621237,1995-05-21
621242,1994-03-22
621244,1994-05-27
621248,1994-04-06
621249,1994-07-20
621261,1993-09-03
621289,1991-06-20
621294,1991-08-05
621295,1991-05-29
621345,1993-09-02
621348,1993-06-21
621363,1994-01-17
621366,1994-03-31
621368,1994-08-30
621381,1991-11-12
621383,1991-10-24
621385,1991-01-04
621389,1990-10-20
621397,1989-10-02
621593,1995-04-13
622065,1993-09-09
622072,1991-01-12
622075,1994-06-04
622088,1993-12-05
622092,1991-09-13
622097,1994-01-31
622098,1993-09-24
622103,1993-05-13
622161,1995-03-06
622217,1990-04-17
622250,1993-12-17
622251,1993-12-21
622253,1994-05-01
622259,1994-04-15
622382,1995-01-09
622446,1993-07-26
622491,1992-12-12
622492,1993-08-02
622503,1994-12-25
622505,1993-04-03
622554,1994-11-25
622608,1995-01-21
622663,1994-02-20
622694,1995-05-03
622766,1994-11-28
622772,1991-10-19
622780,1994-05-07
622786,1995-04-30
622795,1995-01-17
622864,1994-12-24
623149,1990-05-26
623167,1994-07-01
623184,1990-03-13
623211,1989-10-15
623352,1994-04-07
623354,1993-04-15
623364,1991-10-14
623381,1994-04-28
623395,1990-08-04
623402,1991-02-22
623430,1989-10-02
623433,1990-07-05
623437,1991-03-07
623439,1989-12-05
623451,1994-05-11
623465,1994-09-11
623470,1994-11-20
623474,1993-09-09
623485,1992-07-23
623913,1992-04-25
624133,1995-08-26
624522,1995-03-13
624586,1986-09-30
624647,1995-11-16
625643,1994-01-04
626929,1995-11-23
628317,1988-04-11
628318,1984-11-10
628333,1987-04-04
628452,1990-01-04
628708,1995-02-02
628711,1996-08-12
630023,1993-12-26
640444,1994-09-09
640448,1991-09-04
640451,1994-12-09
640455,1992-02-01
640462,1995-04-25
640463,1992-02-22
640464,1994-10-07
640470,1995-03-01
641149,1992-09-06
641154,1996-03-07
641302,1994-07-14
641312,1994-10-29
641329,1994-12-02
641341,1993-04-16
641360,1995-07-10
641386,1994-10-21
641394,1994-09-14
641401,1995-01-29
641427,1990-08-22
641438,1991-08-30
641447,1994-09-17
641482,1994-12-10
641490,1991-12-15
641501,1994-09-12
641540,1994-12-20
641571,1994-05-16
641582,1995-01-27
641585,1995-04-04
641627,1992-08-26
641632,1995-04-04
641656,1995-06-16
641672,1994-09-29
641682,1994-12-16
641703,1995-03-31
641712,1994-09-15
641729,1995-01-17
641743,1995-03-21
641745,1995-07-27
641755,1991-01-31
641771,1992-09-10
641778,1995-06-03
641793,1995-10-05
641816,1994-09-29
641835,1992-01-15
641838,1992-02-22
641851,1991-11-27
641853,1995-03-31
641871,1993-09-12
641907,1995-06-10
641927,1995-07-12
641941,1991-05-07
642003,1993-04-15
642008,1993-03-16
642028,1994-07-10
642048,1993-06-18
642068,1995-06-01
642073,1991-12-27
642083,1992-09-04
642092,1995-01-15
642098,1992-05-11
642100,1995-04-12
642121,1990-03-12
642130,1995-08-17
642152,1991-10-01
642203,1994-10-24
642207,1994-09-21
642231,1992-03-21
642232,1991-12-31
642233,1990-08-18
642239,1992-03-26
642397,1995-02-11
642528,1994-11-02
642545,1996-07-18
642546,1996-07-06
642547,1996-06-04
642558,1996-01-30
642564,1995-11-24
642585,1995-06-20
642701,1996-04-12
642758,1994-03-06
642770,1995-09-25
642840,1992-01-09
643230,1992-04-29
643256,1990-08-15
643290,1995-09-22
643316,1992-07-26
643327,1990-04-21
643338,1991-05-24
643354,1990-09-06
643355,1990-09-13
643377,1994-11-22
643410,1991-03-13
643466,1992-03-03
643493,1989-08-31
643511,1990-12-17
643617,1993-01-28
643778,1990-07-20
644364,1995-02-07
645261,1995-09-07
647315,1996-09-20
647336,1997-08-04
650382,1996-12-17
650496,1996-08-26
650530,1995-04-19
650556,1997-04-22
650633,1995-05-25
650644,1995-06-12
650671,1995-11-09
650828,1991-10-16
650893,1996-10-10
650895,1994-01-18
650911,1996-12-12
650959,1996-09-18
650960,1996-12-04
655889,1996-08-06
656061,1995-09-26
656186,1992-09-08
656222,1993-07-10
656232,1996-04-02
656234,1995-12-04
656257,1992-02-16
656266,1996-10-11
656271,1996-08-04
656288,1996-05-11
656290,1995-09-08
656302,1995-12-28
656322,1992-09-22
656353,1996-03-25
656354,1993-02-03
656412,1995-11-12
656420,1993-02-07
656427,1995-10-15
656457,1993-12-22
656458,1996-03-05
656464,1994-03-24
656529,1996-07-18
656546,1993-01-08
656547,1993-06-09
656557,1996-06-29
656578,1996-05-01
656605,1996-04-04
656629,1996-04-30
656638,1995-10-02
656685,1995-04-28
656730,1993-12-05
656731,1995-07-28
656756,1992-12-27
656793,1995-12-05
656794,1993-06-12
656803,1993-12-24
656814,1995-09-22
656849,1995-09-03
656876,1995-07-27
656887,1995-08-30
656945,1994-07-22
656954,1996-05-13
656970,1995-09-07
656977,1993-07-10
656986,1995-04-06
657006,1995-07-11
657024,1993-09-04
657031,1993-03-02
657044,1992-06-26
657053,1996-06-20
657093,1992-08-27
657097,1993-08-15
657140,1995-10-02
657141,1996-05-11
657205,1992-07-04
657228,1993-05-16
657240,1991-10-14
657248,1996-03-11
657265,1994-10-24
657272,1996-05-19
657277,1996-11-18
657376,1996-02-20
657508,1995-09-10
657514,1992-01-15
657571,1996-07-02
657585,1993-01-02
657610,1990-12-15
657612,1990-02-10
657624,1993-03-08
657670,1993-04-17
657681,1992-07-31
657746,1996-06-05
657756,1996-01-24
657770,1993-03-27
658305,1996-10-04
658551,1997-03-02
659275,1992-07-18
660261,1994-04-12
660271,1994-07-05
660546,1996-11-15
660600,1995-09-28
660623,1998-05-28
660761,1998-01-03
660787,1997-12-12
660813,1998-08-26
660853,1995-12-25
660896,1995-07-28
660906,1997-07-20
661255,1993-01-02
661269,1995-09-18
661309,1996-12-10
661383,1996-10-02
661395,1998-01-08
661403,1998-03-18
661440,1996-04-17
661527,1994-08-29
662253,1999-01-16
663158,1991-03-01
663372,1996-09-02
663385,1995-06-08
663423,1993-09-30
663432,1992-12-25
663460,1997-08-19
663465,1997-08-13
663474,1997-08-02
663485,1997-07-17
663531,1997-05-23
663546,1997-05-07
663554,1997-05-01
663556,1997-04-28
663558,1997-04-24
663559,1997-04-24
663567,1997-04-18
663574,1997-04-15
663623,1997-02-18
663658,1997-01-16
663738,1996-11-17
663753,1996-11-03
663765,1996-10-28
663770,1996-10-22
663773,1996-10-19
663776,1996-10-18
663804,1996-10-04
663855,1996-09-06
663878,1996-08-20
663903,1996-08-04
663941,1996-06-24
663947,1996-06-13
663978,1996-01-08
663986,1995-11-25
663989,1995-10-10
663992,1995-07-07
664042,1994-06-29
664045,1994-06-20
664054,1994-06-04
664062,1994-05-14
664074,1994-04-25
664076,1994-04-23
664092,1994-03-15
664123,1993-12-28
664126,1993-12-16
664129,1993-12-09
664139,1993-11-19
664141,1993-11-17
664157,1993-10-08
664180,1993-07-23
664192,1993-06-06
664199,1993-05-13
664208,1993-03-25
664285,1993-11-19
664294,1996-04-15
664299,1997-03-26
664353,1995-05-01
664641,1989-01-10
664682,1994-05-04
664701,1992-11-12
664747,1996-09-28
664776,1994-07-14
664854,1994-07-18
664856,1994-08-10
664875,1994-11-25
664918,1993-04-28
664948,1994-11-01
665001,1992-10-20
665152,1996-01-07
665621,1997-12-19
665625,1997-03-20
665645,1999-02-07
665665,1996-04-15
665795,1998-04-13
665854,1999-05-15
665871,1997-07-30
666120,1998-05-02
666129,1997-08-05
666142,1997-12-12
666157,1998-02-05
666159,1998-01-28
666168,1998-02-20
666200,1997-09-30
666201,1998-01-09
666204,1993-12-23
666205,1997-10-07
666214,1997-10-06
666374,1998-05-12
666619,1999-08-28
666721,1999-05-04
666808,1997-07-04
666818,1998-05-23
666974,1994-03-09
667297,1991-03-19
667376,1993-12-31
667427,1994-12-25
667463,1994-09-14
667498,1995-07-03
667755,1998-10-20
668665,1995-01-11
668674,1995-05-01
668676,1995-01-21
668678,1995-08-03
668687,1995-01-13
668868,1997-10-28
668881,1999-08-06
668933,1998-02-11
668941,1996-09-09
669022,1999-02-24
669060,1997-12-20
669145,1995-02-09
669160,1997-09-06
669169,1997-01-27
669194,1998-02-01
669203,1994-10-22
669211,1995-04-01
669212,1996-05-13
669214,1995-05-29
669270,1995-02-19
669276,1994-08-01
669302,1997-05-05
669330,1994-08-26
669373,1996-11-20
669387,1999-02-19
669395,1996-09-16
669424,1994-11-18
669432,1997-11-13
669438,1999-11-01
669456,1995-05-31
669459,1996-07-08
669461,1999-11-06
669467,1998-09-18
669618,1995-09-28
669622,1995-02-03
669674,1995-07-08
669713,1997-12-05
669796,1997-12-31
669854,1993-08-31
669912,1994-10-07
669923,1998-02-04
669947,1994-04-06
669952,1994-12-28
670036,1993-03-11
670056,1994-04-09
670059,1995-10-08
670090,1995-01-25
670124,1994-10-17
670167,1994-03-05
670174,1998-06-28
670280,1994-10-10
670329,1994-01-10
670426,1994-07-16
670456,1994-07-12
670810,1997-04-17
670912,1998-03-02
670950,1993-05-15
670955,1998-01-09
670970,1999-02-27
670990,1995-05-06
671106,1998-09-05
671345,1995-11-01
672282,1999-07-08
672335,1996-04-21
672391,1992-02-05
672578,1997-03-11
672710,1999-11-07
672715,1999-10-26
672773,2000-02-15
672851,1998-08-12
673258,1996-01-21
673540,1993-01-30
673633,1984-03-08
674072,1997-07-29
675540,1998-07-27
675627,1996-12-18
675911,1998-10-28
675916,1995-09-22
675921,1996-07-28
676050,1996-04-16
676051,1996-07-03
676092,1995-10-10
676220,1996-05-20
676254,1995-11-26
676265,1995-09-20
676440,1999-03-05
676477,1996-06-11
676534,1995-09-22
676596,1996-05-18
676604,1995-06-16
676606,1996-06-18
676664,1996-02-19
676680,1996-06-14
676684,1995-06-06
676710,1996-04-01
676714,1995-12-01
676760,1995-07-01
676831,1995-02-21
676840,1994-02-27
676879,1998-05-24
676969,1997-11-04
676979,1999-06-21
677053,1998-08-18
677651,1996-12-13
677865,1997-06-26
677960,1999-12-17
677976,1995-01-17
678061,1994-09-10
678394,1999-05-17
678606,2000-03-03
680686,1997-12-21
680694,1996-09-12
680704,1997-01-10
680735,1997-03-28
680739,1996-10-11
681217,2000-05-18
681806,1995-10-13
681810,1996-02-05
681911,1996-04-11
681982,1997-06-21
682051,1996-01-16
682120,1996-10-08
682171,1994-05-02
682243,1998-08-23
682842,2000-06-20
683232,1996-10-07
686610,1998-01-08
686613,1998-08-29
686839,1998-11-18
687330,1997-11-28
689225,1998-04-04
693821,1999-05-19
